

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:23 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2016-10-01,,     0.0,     0.0,    10.7,    10.7,    23.4,     5.5,    13.3,       0,   12.65,   13.01,
917,2016-10-02,,     0.0,     0.0,    10.2,    10.2,    21.0,     8.8,    14.2,       0,   12.66,   13.01,
917,2016-10-03,,     0.0,     0.0,     8.6,     8.6,    16.0,     0.9,     9.5,       0,   12.66,   13.09,
917,2016-10-04,,     0.4,     0.6,     1.5,     1.5,     8.6,     1.5,     5.4,       3,   12.56,   12.66,
917,2016-10-05,,     2.4,     2.9,    -0.4,    -0.4,     2.5,    -0.6,     1.2,      11,   12.54,   12.67,
917,2016-10-06,,     2.9,     3.8,    -1.2,    -1.2,     0.3,    -1.3,    -0.7,      14,   12.71,   13.14,
917,2016-10-07,,     2.5,     4.0,    -9.2,    -9.2,     2.7,    -9.4,    -2.6,      12,   12.68,   13.26,
917,2016-10-08,,     2.6,     4.2,     4.6,     4.6,     4.9,   -10.2,    -0.6,      11,   12.67,   13.29,
917,2016-10-09,,     2.4,     4.2,     4.9,     4.9,    12.3,    -1.3,     5.5,       9,   12.77,   13.24,
917,2016-10-10,,     2.0,     4.2,     1.0,     1.0,    16.5,     0.7,     8.1,       5,   12.69,   13.20,
917,2016-10-11,,     2.2,     4.8,    -3.4,    -3.4,     1.6,    -3.7,    -1.9,       8,   12.65,   13.30,
917,2016-10-12,,     1.9,     4.9,   -10.1,   -10.1,    -2.3,   -10.3,    -4.9,       7,   12.52,   13.35,
917,2016-10-13,,     2.0,     5.1,    -6.5,    -6.5,     7.2,   -11.7,    -2.0,       7,   12.64,   13.32,
917,2016-10-14,,     2.0,     5.2,     9.9,     9.9,    13.9,    -6.7,     5.7,       5,   12.65,   13.29,
917,2016-10-15,,     1.4,     5.2,     7.5,     7.5,    14.6,     7.0,     9.9,       3,   12.66,   13.19,
917,2016-10-16,,     0.9,     5.2,    10.3,    10.3,    12.8,     3.2,     9.3,       2,   12.62,   13.18,
917,2016-10-17,,     0.0,     5.2,     4.2,     4.2,    12.2,     4.0,     8.6,       0,   12.63,   13.16,
917,2016-10-18,,     0.0,     5.2,     5.0,     5.0,    10.2,    -0.2,     4.6,       0,   12.68,   13.24,
917,2016-10-19,,     0.0,     5.2,     1.7,     1.7,     8.6,    -0.7,     4.1,       0,   12.68,   13.21,
917,2016-10-20,,     0.0,     5.2,    -1.8,    -1.8,     9.1,    -1.8,     4.0,       0,   12.68,   13.20,
917,2016-10-21,,     0.0,     5.2,    10.3,    10.3,    12.1,    -2.4,     7.2,       0,   12.55,   13.19,
917,2016-10-22,,     0.0,     5.2,     4.1,     4.1,    11.7,     3.4,     7.8,       0,   12.68,   13.15,
917,2016-10-23,,     0.0,     5.2,    -1.5,    -1.5,    10.4,    -1.6,     5.6,       0,   12.69,   13.20,
917,2016-10-24,,     0.0,     5.2,     1.5,     1.5,    11.4,    -2.2,     5.1,       0,   12.64,   13.20,
917,2016-10-25,,     0.0,     5.3,     4.1,     4.1,    17.8,     0.6,     8.2,       0,   12.63,   13.14,
917,2016-10-26,,     0.0,     5.3,     7.5,     7.5,    14.5,     3.4,     9.0,       0,   12.69,   13.14,
917,2016-10-27,,     0.0,     5.4,     6.5,     6.5,    14.1,     2.1,     8.3,       0,   12.68,   13.14,
917,2016-10-28,,     0.0,     5.4,    10.1,    10.1,    16.8,     6.5,    12.9,       0,   12.67,   13.06,
917,2016-10-29,,     0.0,     5.4,     0.7,     0.7,    11.0,    -0.1,     5.6,       0,   12.65,   13.15,
917,2016-10-30,,     0.0,     5.4,     2.0,     2.0,     9.3,     0.7,     3.9,       0,   12.65,   13.20,
917,2016-10-31,,     0.0,     5.4,     7.3,     7.3,    13.6,     1.7,     8.6,       0,   12.67,   13.16,
917,2016-11-01,,     0.0,     7.8,     5.9,     5.9,     7.4,     2.7,     5.0,       0,   12.50,   12.71,
917,2016-11-02,,     0.0,     7.9,     5.1,     5.1,     9.6,     4.9,     6.7,       0,   12.72,   13.12,
917,2016-11-03,,     0.0,     8.0,    10.3,    10.3,    10.5,     5.1,     8.0,       0,   12.70,   13.17,
917,2016-11-04,,     0.0,     8.0,     3.2,     3.2,    15.5,     2.5,    10.4,       0,   12.67,   13.10,
917,2016-11-05,,     0.0,     8.0,     5.5,     5.5,    18.1,     2.0,     8.1,       0,   12.69,   13.14,
917,2016-11-06,,     0.0,     8.1,     2.6,     2.6,    19.9,     2.4,    11.2,       0,   12.65,   13.10,
