

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:05 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2009-10-01,,     0.0,     0.0,     2.4,     2.4,    10.7,     1.5,     3.0,       0,   12.69,   12.81,
917,2009-10-02,,     0.0,     0.0,    -0.3,    -0.3,     8.1,    -1.6,     2.5,       0,   13.31,   13.42,
917,2009-10-03,,     0.0,     0.1,    -1.8,    -1.8,    10.9,    -2.5,     2.4,       0,   13.28,   13.40,
917,2009-10-04,,     0.0,     0.2,     1.4,     1.4,    10.8,    -3.4,     2.3,       0,   13.31,   13.44,
917,2009-10-05,,     0.0,     0.2,     1.2,     1.2,     4.1,     0.5,     1.8,       0,   13.29,   13.43,
917,2009-10-06,,     0.0,     0.3,     0.5,     0.5,     3.0,    -0.7,     1.4,       0,   13.35,   13.47,
917,2009-10-07,,     0.0,     0.5,    -0.1,    -0.1,    11.5,    -0.3,     5.3,       0,   13.33,   13.43,
917,2009-10-08,,     0.0,     0.5,    -5.8,    -5.8,     0.1,    -6.1,    -1.7,       0,   13.38,   13.50,
917,2009-10-09,,     0.4,     0.8,    -9.2,    -9.2,     3.8,    -9.2,    -3.2,       4,   13.37,   13.50,
917,2009-10-10,,     0.4,     1.0,   -10.9,   -10.9,    -7.8,   -11.4,    -9.7,       3,   13.52,   13.64,
917,2009-10-11,,     0.4,     1.0,    -9.8,    -9.8,    -6.4,   -11.1,    -9.0,       2,   13.48,   13.64,
917,2009-10-12,,     0.4,     1.0,   -10.3,   -10.3,    -6.1,   -10.9,    -8.8,       2,   13.47,   13.65,
917,2009-10-13,,     0.2,     1.1,    -5.3,    -5.3,    -2.8,   -10.9,    -6.1,       1,   13.49,   13.63,
917,2009-10-14,,     0.0,     1.2,    -1.0,    -1.0,    -0.5,    -5.6,    -2.7,       0,   13.40,   13.55,
917,2009-10-15,,     0.0,     1.6,     2.8,     2.8,     7.2,    -1.2,     2.0,       0,   13.30,   13.49,
917,2009-10-16,,     0.0,     1.6,    -0.3,    -0.3,     9.9,    -0.4,     4.8,       0,   13.27,   13.45,
917,2009-10-17,,     0.0,     1.8,    10.0,    10.0,    12.6,    -2.3,     5.3,       0,   13.32,   13.42,
917,2009-10-18,,     0.0,     1.8,    14.2,    14.2,    19.4,     8.7,    13.3,       0,   13.17,   13.31,
917,2009-10-19,,     0.0,     1.8,     1.1,     1.1,    16.9,     0.9,     8.4,       0,   13.19,   13.30,
917,2009-10-20,,     0.0,     1.8,     1.0,     1.0,     5.2,     0.4,     2.6,       0,   12.81,   13.01,
917,2009-10-21,,     0.0,     1.8,    -1.5,    -1.5,     5.2,    -1.5,     1.4,       0,   13.16,   13.36,
917,2009-10-22,,     0.0,     1.8,     3.8,     3.8,     8.9,    -3.3,     2.4,       0,   13.26,   13.40,
917,2009-10-23,,     0.0,     1.8,    -1.4,    -1.4,    10.4,    -1.4,     4.4,       0,   13.23,   13.35,
917,2009-10-24,,     0.0,     2.0,     5.8,     5.8,    10.0,    -2.3,     4.6,       0,   13.26,   13.37,
917,2009-10-25,,     0.7,     2.3,     0.7,     0.7,     6.8,     0.4,     3.0,       3,   13.18,   13.33,
917,2009-10-26,,     0.6,     2.4,     4.2,     4.2,     5.4,     0.1,     2.0,       3,   13.24,   13.41,
917,2009-10-27,,     0.4,     2.5,     4.1,     4.1,    10.2,     3.0,     6.9,       1,   13.15,   13.33,
917,2009-10-28,,     1.6,     3.7,    -1.5,    -1.5,     4.3,    -1.6,     0.7,      13,   12.70,   12.85,
917,2009-10-29,,     1.6,     3.8,    -2.2,    -2.2,     0.1,    -2.4,    -1.5,      11,   12.67,   12.67,
917,2009-10-30,,     1.6,     4.0,     0.3,     0.3,     1.7,    -9.5,    -3.1,      10,   13.26,   13.47,
917,2009-10-31,,     1.5,     4.1,     6.4,     6.4,     9.0,     0.3,     5.3,       8,   13.24,   13.37,
917,2009-11-01,,     1.2,     4.1,     6.4,     6.4,    13.7,     6.3,     9.0,       6,   13.16,   13.32,
917,2009-11-02,,     1.0,     4.1,    -3.4,    -3.4,     7.3,    -3.4,     2.8,       4,   13.22,   13.39,
917,2009-11-03,,     0.9,     4.1,     2.6,     2.6,     6.1,    -6.2,     1.7,       3,   13.28,   13.42,
917,2009-11-04,,     0.9,     4.1,    -6.1,    -6.1,     5.4,    -6.1,     0.5,       3,   13.26,   13.41,
917,2009-11-05,,     0.9,     4.1,     1.1,     1.1,    10.3,    -6.3,     1.1,       3,   13.35,   13.47,
917,2009-11-06,,     0.8,     4.2,    12.6,    12.6,    17.9,     1.0,    11.3,       2,   13.21,   13.32,
917,2009-11-07,,     0.6,     4.2,     2.4,     2.4,    13.2,     1.9,     8.2,       2,   13.20,   13.33,
917,2009-11-08,,     0.4,     4.2,     3.0,     3.0,     7.8,     1.5,     3.9,       1,   13.25,   13.37,
917,2009-11-09,,     0.3,     4.2,     1.5,     1.5,     6.2,     0.4,     3.2,       1,   13.31,   13.44,
917,2009-11-10,,     0.0,     4.2,     3.8,     3.8,     8.2,    -4.3,     3.6,       0,   13.27,   13.38,
917,2009-11-11,,     0.0,     4.2,    -0.9,    -0.9,    10.5,    -0.9,     5.3,       0,   13.17,   13.33,
917,2009-11-12,,     0.0,     4.2,     1.4,     1.4,     7.6,    -2.2,     3.2,       0,   13.30,   13.42,
917,2009-11-13,,     0.0,     4.2,    -4.9,    -4.9,     1.5,    -7.5,    -1.9,       0,   13.36,   13.50,
917,2009-11-14,,     0.0,     4.2,    -3.1,    -3.1,     1.4,    -8.4,    -2.9,       0,   13.39,   13.52,
917,2009-11-15,,     0.0,     4.2,    -5.2,    -5.2,     3.1,    -7.0,    -2.2,       0,   13.40,   13.52,
917,2009-11-16,,     0.0,     4.2,     3.8,     3.8,     5.2,    -5.2,     1.3,       0,   13.32,   13.45,
917,2009-11-17,,     0.0,     4.2,     7.8,     7.8,    11.0,     3.9,     7.6,       0,   13.25,   13.35,
917,2009-11-18,,     0.0,     4.2,     1.1,     1.1,    15.4,     1.1,     9.3,       0,   13.16,   13.31,
917,2009-11-19,,     0.0,     4.2,    -0.5,    -0.5,     7.4,    -6.4,     0.0,       0,   13.27,   13.42,
917,2009-11-20,,     0.0,     4.2,     5.9,     5.9,     8.4,    -1.0,     4.5,       0,   13.31,   13.42,
917,2009-11-21,,     0.0,     4.2,     4.1,     4.1,    12.6,     4.1,     8.1,       0,   13.23,   13.36,
917,2009-11-22,,     0.0,     4.2,    -1.8,    -1.8,     7.6,    -2.1,     2.1,       0,   13.21,   13.37,
917,2009-11-23,,     0.0,     4.2,    -0.6,    -0.6,     3.5,    -5.1,    -0.6,       0,   13.38,   13.49,
917,2009-11-24,,     0.0,     4.2,     1.3,     1.3,     5.0,    -2.5,     0.5,       0,   13.30,   13.45,
917,2009-11-25,,     0.0,     4.2,    -4.4,    -4.4,     3.0,    -4.4,     0.8,       0,   13.24,   13.39,
917,2009-11-26,,     0.0,     4.2,     9.0,     9.0,     9.7,    -6.4,     4.4,       0,   13.34,   13.40,
917,2009-11-27,,     0.0,     4.2,     6.2,     6.2,    11.3,     6.2,     9.3,       0,   12.94,   13.09,
917,2009-11-28,,     0.0,     4.2,    -1.7,    -1.7,     8.1,    -1.7,     3.2,       0,   13.26,   13.39,
917,2009-11-29,,     0.0,     4.2,     0.0,     0.0,     2.0,    -6.5,    -1.5,       0,   13.31,   13.46,
917,2009-11-30,,     0.0,     4.2,     3.6,     3.6,     6.4,    -0.3,     3.1,       0,   13.30,   13.43,
917,2009-12-01,,     0.0,     4.2,    -4.3,    -4.3,     9.0,    -4.3,     3.5,       0,   13.12,   13.27,
917,2009-12-02,,     0.0,     4.2,   -10.2,   -10.2,    -3.8,   -10.4,    -7.0,       0,   13.40,   13.58,
917,2009-12-03,,     0.0,     4.2,   -12.2,   -12.2,    -8.7,   -12.2,   -10.2,       0,   13.18,   13.35,
