

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:15 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2013-10-01,,     0.0,     0.0,     5.5,     5.5,    11.9,     5.3,     8.5,       0,   13.09,   13.31,
917,2013-10-02,,     0.0,     0.0,     3.8,     3.8,    11.9,     2.9,     7.2,       0,   13.07,   13.31,
917,2013-10-03,,     0.0,     0.0,    -1.2,    -1.2,    10.5,    -1.7,     4.5,       0,   13.05,   13.35,
917,2013-10-04,,     0.0,     0.0,    -0.9,    -0.9,     2.1,    -1.8,     0.4,       0,   13.00,   13.37,
917,2013-10-05,,     0.0,     0.0,    -3.9,    -3.9,     8.6,    -4.4,     0.2,       0,   13.11,   13.42,
917,2013-10-06,,     0.0,     0.0,    10.0,    10.0,    13.7,    -3.8,     8.1,       0,   13.15,   13.35,
917,2013-10-07,,     0.0,     0.0,     9.6,     9.6,    18.5,     2.4,    10.3,       0,   13.00,   13.26,
917,2013-10-08,,     0.0,     0.0,     7.1,     7.1,    20.0,     7.0,    14.0,       0,   13.00,   13.25,
917,2013-10-09,,     0.0,     0.0,     0.0,     0.0,    11.5,    -1.4,     6.3,       0,   13.05,   13.30,
917,2013-10-10,,     0.0,     0.0,     6.3,     6.3,    10.6,    -1.9,     5.5,       0,   13.08,   13.34,
917,2013-10-11,,     0.0,     0.0,     4.1,     4.1,    11.9,     0.1,     5.6,       0,   13.10,   13.33,
917,2013-10-12,,     0.0,     0.0,    -1.0,    -1.0,     6.5,    -2.4,     2.2,       0,   13.07,   13.36,
917,2013-10-13,,     0.0,     0.1,     2.1,     2.1,     7.3,    -2.4,     2.6,       0,   13.02,   13.35,
917,2013-10-14,,     0.0,     0.2,     3.0,     3.0,     8.1,     1.8,     4.9,       0,   13.05,   13.38,
917,2013-10-15,,     0.0,     0.2,    -4.5,    -4.5,     6.1,    -4.5,     1.8,       0,   12.99,   13.38,
917,2013-10-16,,     0.0,     0.2,     3.4,     3.4,    10.9,    -5.1,     3.3,       0,   13.05,   13.40,
917,2013-10-17,,     0.0,     0.2,    -1.2,    -1.2,     5.9,    -1.2,     2.4,       0,   12.99,   13.26,
917,2013-10-18,,     0.3,     0.4,     0.6,     0.6,     3.3,    -5.1,    -0.2,       2,   13.08,   13.34,
917,2013-10-19,,     0.0,     0.6,     6.4,     6.4,     9.9,    -0.9,     5.2,       0,   13.10,   13.38,
917,2013-10-20,,     0.0,     0.6,     4.3,     4.3,    12.0,     4.2,     7.3,       0,   13.05,   13.31,
917,2013-10-21,,     0.0,     0.6,     7.1,     7.1,     7.9,     2.5,     5.3,       0,   13.02,   13.34,
917,2013-10-22,,     0.0,     0.6,     8.0,     8.0,    10.9,     6.3,     8.8,       0,   13.03,   13.32,
917,2013-10-23,,     0.0,     0.6,     7.3,     7.3,    14.4,     0.6,     8.2,       0,   13.05,   13.29,
917,2013-10-24,,     0.0,     0.6,     2.9,     2.9,     9.2,     2.2,     5.3,       0,   13.02,   13.29,
917,2013-10-25,,     0.0,     0.6,    10.3,    10.3,    14.1,    -0.6,     6.5,       0,   12.99,   13.31,
917,2013-10-26,,     0.0,     0.6,    -1.1,    -1.1,    14.4,    -1.3,     7.0,       0,   13.00,   13.29,
917,2013-10-27,,     0.0,     0.6,     8.6,     8.6,    15.2,    -1.1,     8.3,       0,   12.81,   13.32,
917,2013-10-28,,     0.0,     0.6,    -4.8,    -4.8,    10.5,    -4.9,     1.0,       0,   13.05,   13.37,
917,2013-10-29,,     0.0,     0.6,    -6.2,    -6.2,    -4.5,    -7.0,    -6.0,       0,   13.07,   13.39,
917,2013-10-30,,     0.0,     0.6,    -7.7,    -7.7,    -0.5,    -7.7,    -4.5,       0,   13.10,   13.49,
917,2013-10-31,,     0.0,     0.6,     2.8,     2.8,     6.3,    -7.6,     2.7,       0,   13.10,   13.43,
917,2013-11-01,,     0.0,     0.6,     2.6,     2.6,     5.7,     1.2,     3.4,       0,   13.10,   13.36,
917,2013-11-02,,     0.0,     0.6,    -2.3,    -2.3,     7.8,    -2.3,     3.4,       0,   13.10,   13.39,
917,2013-11-03,,     0.0,     0.8,     3.0,     3.0,     7.5,    -3.9,     2.4,       0,   13.13,   13.39,
917,2013-11-04,,     0.6,     1.2,    -5.8,    -5.8,     3.0,    -6.1,    -1.6,       5,   13.02,   13.31,
917,2013-11-05,,     0.6,     1.2,    -9.6,    -9.6,    -3.1,   -10.5,    -7.0,       4,   13.17,   13.52,
917,2013-11-06,,     0.7,     1.3,    -1.1,    -1.1,     1.5,   -11.0,    -3.4,       4,   13.24,   13.53,
917,2013-11-07,,     0.6,     1.3,    -7.9,    -7.9,     3.3,    -8.3,    -0.8,       3,   13.16,   13.48,
917,2013-11-08,,     1.0,     1.6,     5.4,     5.4,     6.2,   -11.6,    -1.3,       6,   13.24,   13.48,
917,2013-11-09,,     1.0,     1.6,    -2.0,    -2.0,     5.4,    -2.3,     2.0,       6,   13.02,   13.44,
917,2013-11-10,,     1.0,     1.6,     2.5,     2.5,     5.5,    -5.8,     0.4,       5,   13.17,   13.44,
917,2013-11-11,,     1.3,     2.1,    -5.8,    -5.8,     2.5,    -5.8,    -2.5,      10,   12.84,   13.13,
917,2013-11-12,,     1.3,     2.2,    -1.4,    -1.4,     4.6,   -11.9,    -3.2,       8,   13.19,   13.47,
917,2013-11-13,,     1.4,     2.3,     8.4,     8.4,    15.2,    -4.5,     7.1,       5,   13.14,   13.40,
917,2013-11-14,,     1.3,     2.3,     2.5,     2.5,     8.5,     2.5,     6.0,       4,   13.15,   13.37,
917,2013-11-15,,     1.3,     2.3,     1.8,     1.8,     6.1,     0.6,     3.0,       4,   13.01,   13.39,
