

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:19 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2015-10-01,,     0.0,     0.0,     4.2,     4.2,    21.3,     0.4,     9.4,       0,   12.65,   13.14,
917,2015-10-02,,     0.0,     0.1,    12.8,    12.8,    16.9,     3.3,    11.3,       0,   12.75,   13.17,
917,2015-10-03,,     0.0,     0.2,     8.2,     8.2,    13.7,     8.2,    10.7,       0,   12.67,   13.00,
917,2015-10-04,,     0.2,     1.1,     0.0,     0.0,     8.1,     0.0,     4.3,       1,   12.56,   12.76,
917,2015-10-05,,     0.0,     1.3,    -0.9,    -0.9,     2.4,    -0.9,     0.6,       0,   12.76,   13.27,
917,2015-10-06,,     0.0,     1.4,    -0.7,    -0.7,    12.8,    -1.2,     4.0,       0,   12.69,   13.23,
917,2015-10-07,,     0.0,     1.5,    12.4,    12.4,    15.4,    -1.6,     7.4,       0,   12.71,   13.20,
917,2015-10-08,,     0.0,     1.6,     9.2,     9.2,    16.7,     7.1,    12.4,       0,   12.72,   13.15,
917,2015-10-09,,     0.0,     1.6,     9.6,     9.6,    16.6,     3.9,     9.4,       0,   12.70,   13.15,
917,2015-10-10,,     0.0,     1.7,    18.6,    18.6,    22.4,     9.4,    17.6,       0,   12.62,   13.08,
917,2015-10-11,,     0.0,     1.8,    10.0,    10.0,    23.3,    10.0,    18.6,       0,   12.67,   13.03,
917,2015-10-12,,     0.0,     1.8,     7.0,     7.0,    16.8,     6.8,    10.5,       0,   12.70,   13.18,
917,2015-10-13,,     0.0,     1.8,     9.8,     9.8,    17.3,     3.3,    11.3,       0,   12.70,   13.12,
917,2015-10-14,,     0.0,     1.8,     9.4,     9.4,    16.2,     3.6,    11.3,       0,   12.70,   13.14,
917,2015-10-15,,     0.0,     1.8,     3.8,     3.8,    13.5,    -1.4,     7.0,       0,   12.70,   13.19,
917,2015-10-16,,     0.0,     2.0,     4.9,     4.9,    11.2,    -2.8,     5.2,       0,   12.46,   13.14,
917,2015-10-17,,     0.0,     2.0,     2.2,     2.2,    15.8,    -2.0,     6.1,       0,   12.52,   13.15,
917,2015-10-18,,     0.0,     2.0,     5.2,     5.2,    18.8,     0.7,     9.0,       0,   12.57,   13.08,
917,2015-10-19,,     0.0,     2.0,     3.5,     3.5,    20.0,     3.5,    11.2,       0,   12.53,   12.97,
917,2015-10-20,,     0.0,     2.0,    10.5,    10.5,    14.8,     3.2,     9.8,       0,   12.55,   13.01,
917,2015-10-21,,     0.0,     2.1,    -0.8,    -0.8,    10.8,    -1.3,     5.6,       0,   12.48,   12.98,
917,2015-10-22,,     0.0,     2.1,     9.7,     9.7,    15.0,    -1.3,     6.9,       0,   12.63,   13.06,
917,2015-10-23,,     0.0,     2.1,     6.5,     6.5,    14.7,     1.6,     8.5,       0,   12.65,   13.08,
917,2015-10-24,,     0.0,     2.1,    -2.0,    -2.0,    12.5,    -2.6,     4.1,       0,   12.60,   13.14,
917,2015-10-25,,     0.0,     2.1,     4.3,     4.3,    10.6,    -3.2,     3.9,       0,   12.59,   13.17,
917,2015-10-26,,     0.0,     2.1,     5.6,     5.6,    12.3,     0.9,     6.6,       0,   12.60,   13.12,
917,2015-10-27,,     0.0,     2.1,     0.2,     0.2,     9.8,    -1.1,     5.2,       0,   12.58,   13.10,
917,2015-10-28,,     0.0,     2.2,    -0.5,    -0.5,     6.7,    -0.6,     1.1,       0,   12.47,   12.85,
