

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:45:58 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2006-10-01,,     0.0,     0.0,    13.5,    13.5,    22.9,     7.1,    15.4,       0,   12.97,   13.22,
917,2006-10-02,,     0.0,     0.1,     3.2,     3.2,    20.1,     2.8,    12.0,       0,   12.98,   13.25,
917,2006-10-03,,     0.0,     0.1,     5.8,     5.8,    14.0,     3.1,     8.5,       0,   13.05,   13.31,
917,2006-10-04,,     0.0,     0.1,     6.3,     6.3,    11.6,     3.8,     7.4,       0,   13.05,   13.36,
917,2006-10-05,,     0.0,     0.1,     3.9,     3.9,    14.1,     3.8,     8.0,       0,   13.01,   13.32,
917,2006-10-06,,     0.0,     0.1,    11.3,    11.3,    19.8,     2.5,    11.3,       0,   13.01,   13.27,
917,2006-10-07,,     0.0,     0.1,     9.4,     9.4,    19.6,     9.0,    13.3,       0,   12.99,   13.25,
917,2006-10-08,,     0.0,     0.6,     0.0,     0.0,     9.4,     0.0,     4.4,       0,   12.82,   12.90,
917,2006-10-09,,     0.2,     0.8,    -1.5,    -1.5,     6.0,    -3.1,     0.8,       1,   13.08,   13.35,
917,2006-10-10,,     0.2,     0.8,     1.6,     1.6,     6.4,    -4.5,     0.9,       1,   13.10,   13.42,
917,2006-10-11,,     0.3,     1.4,    -1.1,    -1.1,     7.6,    -1.3,     3.1,       2,   13.03,   13.38,
917,2006-10-12,,     0.4,     1.5,    -5.9,    -5.9,     0.0,    -6.2,    -1.8,       3,   13.09,   13.37,
917,2006-10-13,,     0.2,     1.5,     1.0,     1.0,     7.0,    -5.9,     1.6,       2,   13.05,   13.41,
917,2006-10-14,,     0.0,     1.5,    -1.3,    -1.3,    11.1,    -1.4,     3.4,       0,   13.04,   13.38,
917,2006-10-15,,     0.0,     1.5,     1.6,     1.6,    13.6,    -2.5,     4.5,       0,   13.05,   13.38,
917,2006-10-16,,     0.0,     1.5,     4.9,     4.9,    13.1,     1.2,     8.8,       0,   13.04,   13.33,
917,2006-10-17,,     0.1,     1.8,    -4.3,    -4.3,     5.1,    -4.3,    -0.9,       3,   12.77,   12.95,
917,2006-10-18,,     0.1,     1.9,    -5.9,    -5.9,    -0.7,    -6.2,    -3.4,       2,   13.18,   13.43,
917,2006-10-19,,     0.3,     2.1,     3.2,     3.2,     6.3,    -6.2,     1.9,       2,   13.12,   13.42,
917,2006-10-20,,     0.0,     2.2,     4.9,     4.9,     7.5,     0.6,     4.5,       0,   13.11,   13.40,
