

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:37:17 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,BATT.I-1 (volt) ,
917,1999-10-01,,     0.0,     0.0,    -1.2,     4.1,    -1.2,     1.5,   12.72,
917,1999-10-02,,     0.0,     0.1,    -2.0,     0.3,    -2.1,    -1.3,   12.70,
917,1999-10-03,,     0.0,     0.1,   -10.5,    -0.7,   -11.5,    -5.1,   12.66,
917,1999-10-04,,     0.0,     0.2,    -0.7,     9.4,    -8.7,     0.7,   12.82,
917,1999-10-05,,     0.0,     0.2,     0.6,    15.1,    -1.0,     6.3,   12.83,
917,1999-10-06,,     0.0,     0.2,     1.7,    16.3,     0.7,     7.6,   12.84,
917,1999-10-07,,     0.0,     0.2,     3.1,    17.3,     1.7,     8.5,   12.85,
917,1999-10-08,,     0.0,     0.2,     5.9,    12.8,     4.3,     8.3,   12.80,
917,1999-10-09,,     0.0,     0.5,     5.3,    16.3,     5.3,    10.9,   12.84,
917,1999-10-10,,     0.0,     0.6,     3.0,     9.7,     3.0,     5.6,   12.81,
917,1999-10-11,,     0.0,     0.6,     7.0,     9.5,    -2.2,     4.7,   12.82,
917,1999-10-12,,     0.0,     0.6,     2.6,    11.2,     2.5,     5.8,   12.75,
917,1999-10-13,,     0.0,     0.6,     0.2,     7.2,    -1.4,     2.4,   12.74,
917,1999-10-14,,     0.0,     0.6,     7.7,    17.0,     1.1,    11.3,   12.76,
917,1999-10-15,,     0.0,     0.6,     0.1,    10.7,     0.1,     6.0,   12.79,
917,1999-10-16,,     0.0,     0.6,    -2.7,     4.3,    -2.7,     0.4,   12.77,
917,1999-10-17,,     0.0,     0.6,     2.6,     5.9,    -2.9,     0.3,   12.72,
917,1999-10-18,,     0.1,     0.9,     1.9,     6.6,     1.7,     3.2,   12.71,
917,1999-10-19,,     0.1,     0.9,    -2.3,     5.2,    -2.3,     1.9,   12.71,
917,1999-10-20,,     0.1,     1.0,     7.8,    12.3,    -2.5,     5.8,   12.79,
917,1999-10-21,,     0.0,     1.0,    10.5,    18.2,     6.2,    11.1,   12.86,
917,1999-10-22,,     0.0,     1.0,     2.0,    17.1,     1.9,     9.1,   12.79,
917,1999-10-23,,     0.0,     1.0,     3.5,    17.1,     0.4,     7.1,   12.77,
917,1999-10-24,,     0.0,     1.0,    13.2,    20.5,     1.5,     9.5,   12.79,
917,1999-10-25,,     0.0,     1.0,     0.2,    14.6,     0.2,    10.5,   12.75,
917,1999-10-26,,     0.0,     1.0,    10.2,    14.2,    -1.9,     8.3,   12.79,
917,1999-10-27,,     0.3,     1.3,     0.0,    12.1,     0.0,     8.1,   12.74,
917,1999-10-28,,     0.3,     1.6,     1.1,     3.2,    -2.8,     0.4,   12.74,
917,1999-10-29,,     0.1,     1.8,     3.7,     9.8,     1.1,     5.0,   12.71,
917,1999-10-30,,     0.1,     1.8,     5.5,     9.1,     3.7,     5.3,   12.74,
917,1999-10-31,,     0.0,     1.8,    12.5,    13.9,     5.7,    10.3,   12.78,
917,1999-11-01,,     0.0,     1.9,    -3.4,    16.1,    -3.4,     6.5,   12.71,
917,1999-11-02,,     0.0,     2.0,     2.2,     2.5,    -5.5,    -1.6,   12.76,
917,1999-11-03,,     0.0,     2.0,     4.2,     9.4,     2.9,     5.8,   12.80,
917,1999-11-04,,     0.0,     2.0,    11.8,    13.0,    -0.4,     8.3,   12.84,
917,1999-11-05,,     0.0,     2.0,    -5.7,    11.7,    -5.7,     3.3,   12.74,
917,1999-11-06,,     0.0,     2.0,     6.3,     7.5,    -6.2,     2.4,   12.72,
917,1999-11-07,,     0.0,     2.0,    11.3,    16.8,     5.4,    11.7,   12.84,
917,1999-11-08,,     0.0,     2.0,     6.0,    22.2,     6.0,    14.5,   12.85,
917,1999-11-09,,     0.0,     2.0,     6.9,    18.0,     3.5,    10.0,   12.80,
917,1999-11-10,,     0.0,     2.0,     5.0,    11.0,     3.6,     6.2,   12.81,
917,1999-11-11,,     0.0,     2.0,     7.0,    12.0,     4.0,     8.7,   12.74,
917,1999-11-12,,     0.0,     2.0,    13.0,    13.3,     4.0,     9.2,   12.84,
917,1999-11-13,,     0.0,     2.0,     6.9,    19.1,     6.9,    15.3,   12.86,
917,1999-11-14,,     0.0,     2.0,     8.9,     9.3,     1.1,     5.2,   12.72,
917,1999-11-15,,     0.0,     2.0,     6.8,    16.9,     6.1,    11.7,   12.84,
917,1999-11-16,,     0.0,     2.0,     9.2,    16.8,     0.1,     8.2,   12.81,
917,1999-11-17,,     0.0,     2.0,     0.3,    13.1,    -0.6,     6.6,   12.81,
917,1999-11-18,,     0.0,     2.0,     1.4,    11.8,     0.0,     4.2,   12.79,
917,1999-11-19,,     0.1,     2.0,    -3.6,     2.1,    -3.6,    -1.2,   12.68,
917,1999-11-20,,     0.1,     2.1,     7.7,     8.3,    -3.9,     4.7,   12.77,
917,1999-11-21,,     0.1,     2.1,    -0.1,     7.9,    -0.1,     4.5,   12.83,
