

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:17 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2014-10-01,,     0.0,     0.0,     5.3,     5.3,    14.0,     5.3,     9.4,       0,   12.71,   13.21,
917,2014-10-02,,     0.0,     0.0,     5.0,     5.0,    12.7,     4.3,     6.8,       0,   12.74,   13.28,
917,2014-10-03,,     0.3,     0.8,    -1.9,    -1.9,     5.4,    -2.0,     0.5,       1,   12.69,   13.41,
917,2014-10-04,,     0.0,     1.1,     9.8,     9.8,    10.2,    -6.3,     4.1,       0,   12.71,   13.36,
917,2014-10-05,,     0.0,     1.3,    11.0,    11.0,    16.7,     4.5,    11.7,       0,   12.68,   13.22,
917,2014-10-06,,     0.0,     1.3,    10.8,    10.8,    15.1,     5.3,    10.9,       0,   12.69,   13.23,
917,2014-10-07,,     0.0,     1.3,     9.0,     9.0,    18.6,     9.0,    13.4,       0,   12.70,   13.17,
917,2014-10-08,,     0.0,     1.3,     4.2,     4.2,    16.2,     3.5,     8.8,       0,   12.67,   13.20,
917,2014-10-09,,     0.0,     1.3,     4.2,     4.2,    18.4,     3.9,     9.9,       0,   12.69,   13.18,
917,2014-10-10,,     0.0,     1.3,     7.5,     7.5,    13.8,     3.3,     8.0,       0,   12.69,   13.25,
917,2014-10-11,,     0.0,     1.3,     7.0,     7.0,    15.9,     4.5,     9.6,       0,   12.71,   13.22,
917,2014-10-12,,     0.0,     1.3,     3.2,     3.2,    16.1,     2.9,    10.1,       0,   12.68,   13.20,
917,2014-10-13,,     0.0,     1.3,     4.5,     4.5,     9.9,     0.9,     5.6,       0,   12.69,   13.29,
917,2014-10-14,,     0.0,     1.3,    13.7,    13.7,    13.7,     2.4,     8.9,       0,   12.83,   13.27,
917,2014-10-15,,     0.0,     1.3,     5.5,     5.5,    17.6,     5.4,    13.5,       0,   12.71,   13.20,
