

Montana (PST) SNOTEL Site Rocky Boy - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:46:13 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
917,2012-10-01,,     0.0,     0.0,     1.6,     1.6,    15.7,     1.0,     9.1,       0,   13.05,   13.26,
917,2012-10-02,,     0.0,     0.0,    15.5,    15.5,    21.8,     1.2,    13.5,       0,   13.10,   13.25,
917,2012-10-03,,     0.3,     0.3,     1.4,     1.4,    15.5,     1.4,     9.6,       1,   13.02,   13.23,
917,2012-10-04,,     0.8,     1.4,    -1.5,    -1.5,    15.1,    -1.5,     1.1,       5,   13.19,   13.42,
917,2012-10-05,,     0.6,     1.4,    -4.6,    -4.6,     6.0,    -4.6,    -0.1,       4,   13.18,   13.45,
917,2012-10-06,,     0.5,     1.5,    -6.6,    -6.6,     5.9,    -6.6,    -1.9,       2,   13.29,   13.50,
917,2012-10-07,,     0.5,     1.5,    -0.2,    -0.2,     7.4,    -6.8,     1.0,       2,   13.25,   13.47,
917,2012-10-08,,     0.0,     1.5,     7.8,     7.8,    13.0,    -0.4,     7.5,       0,   13.24,   13.41,
917,2012-10-09,,     0.0,     2.2,     1.7,     1.7,     7.6,     1.1,     3.2,       0,   13.01,   13.27,
917,2012-10-10,,     0.0,     2.3,     1.5,     1.5,     7.9,    -0.5,     3.0,       0,   13.26,   13.43,
917,2012-10-11,,     0.0,     2.3,    -1.5,    -1.5,    11.3,    -1.5,     5.2,       0,   13.21,   13.38,
917,2012-10-12,,     0.0,     2.3,     0.5,     0.5,     1.2,    -3.0,    -1.1,       0,   13.29,   13.48,
917,2012-10-13,,     0.0,     2.4,    11.8,    11.8,    18.5,     0.0,    10.9,       0,   13.19,   13.33,
917,2012-10-14,,     0.0,     2.5,     8.4,     8.4,    14.1,     8.0,    11.0,       0,   13.15,   13.31,
917,2012-10-15,,     0.0,     2.5,    13.6,    13.6,    15.6,     7.1,    11.9,       0,   13.11,   13.27,
917,2012-10-16,,     0.0,     2.6,     9.8,     9.8,    14.3,     7.9,    11.5,       0,   13.12,   13.27,
917,2012-10-17,,     0.0,     2.8,     2.7,     2.7,    13.0,     1.9,     7.8,       0,   12.90,   13.20,
917,2012-10-18,,     0.0,     3.0,     0.2,     0.2,     4.9,     0.1,     2.7,       0,   13.20,   13.41,
917,2012-10-19,,     0.0,     3.2,     8.5,     8.5,    10.1,    -3.9,     3.4,       0,   13.21,   13.42,
917,2012-10-20,,     0.0,     3.2,    10.5,    10.5,    14.7,     7.0,    11.5,       0,   13.19,   13.33,
917,2012-10-21,,     0.0,     3.2,     0.0,     0.0,    10.9,    -0.4,     6.6,       0,   13.14,   13.33,
917,2012-10-22,,     0.0,     3.2,     2.2,     2.2,     7.2,    -4.5,     1.5,       0,   13.12,   13.43,
917,2012-10-23,,     0.0,     3.2,    -0.4,    -0.4,     7.1,    -1.6,     2.3,       0,   12.93,   13.39,
