

Montana (MST) SCAN Site Fort Assiniboine #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:51:00 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2019,2012-10-01,,    0.00,     0.0,     7.6,    20.4,     7.6,    13.2,    0.00,     2.5,     9.6,    21.0,    17.9,    21.6,    15.0,    16.4,    16.8,    16.3,    15.9,      76,
2019,2012-10-02,,    0.00,     0.0,    19.2,    27.7,     0.0,    15.2,    0.00,     2.7,     9.7,    20.8,    17.8,    21.5,    17.0,    16.8,    16.5,    16.1,    15.8,      26,
2019,2012-10-03,,    0.24,     0.1,     4.6,    19.4,     4.4,    12.0,    0.24,     2.6,     9.6,    20.8,    17.8,    21.5,    14.8,    16.0,    16.5,    16.1,    15.8,      97,
2019,2012-10-04,,    0.90,     0.8,     2.8,     7.3,     2.6,     4.6,    0.66,    17.2,    23.2,    20.2,    17.8,    21.4,    10.5,    11.8,    13.5,    15.6,    15.7,     100,
2019,2012-10-05,,    0.90,     0.8,     1.0,     8.2,     0.0,     3.6,    0.00,    16.4,    22.0,    20.1,    17.8,    21.3,     9.4,    10.9,    12.3,    14.7,    15.5,     100,
2019,2012-10-06,,    0.90,     0.8,    -2.6,     8.8,    -2.6,     2.2,    0.00,    15.6,    21.2,    19.8,    17.6,    21.3,     7.6,     9.5,    11.4,    14.0,    15.3,      95,
2019,2012-10-07,,    0.90,     0.9,     4.6,    12.4,    -3.7,     4.2,    0.00,    15.3,    20.4,    19.7,    17.6,    21.2,     8.1,     9.2,    10.5,    13.3,    15.0,      95,
2019,2012-10-08,,    0.90,     0.9,    10.0,    19.5,     2.1,    10.1,    0.00,    15.1,    20.0,    20.0,    17.4,    21.2,    10.1,    10.6,    11.2,    12.8,    14.6,      66,
2019,2012-10-09,,    0.90,     0.9,     4.3,    10.6,     3.7,     7.1,    0.00,    14.6,    19.5,    19.9,    17.2,    21.1,     8.5,     9.5,    10.7,    12.8,    14.4,      90,
2019,2012-10-10,,    0.91,     0.9,     3.5,    12.2,     2.9,     6.6,    0.01,    14.6,    19.2,    20.1,    17.2,    20.8,     8.3,     9.5,    10.6,    12.5,    14.1,      87,
2019,2012-10-11,,    0.92,     0.9,     0.2,    15.1,     0.2,     6.4,    0.01,    14.3,    18.8,    19.9,    17.2,    21.0,     8.6,     9.5,    10.6,    12.3,    13.9,      96,
2019,2012-10-12,,    0.92,     0.9,    -2.2,     7.4,    -2.6,     1.4,    0.00,    13.9,    18.5,    19.9,    17.4,    20.9,     6.4,     8.1,     9.7,    12.0,    13.7,     100,
